species	imgt_gene_id	functionality	gene_definition	allele_count	chromosome	chromosomal_localization	ligm_db_accessions	ncbi_gene_id
Macaca mulatta	TRBV18	F	Macaca mulatta T cell receptor beta variable 18	1	3		NW_001114291	-
Macaca mulatta	TRBV19	F	Macaca mulatta T cell receptor beta variable 19	2	3		NW_001114291	-
Macaca mulatta	TRBV2-1	F	Macaca mulatta T cell receptor beta variable 2-1	2	3		NW_001114291	-
Macaca mulatta	TRBV2-2	F	Macaca mulatta T cell receptor beta variable 2-2	1	3		NW_001114291	-
Macaca mulatta	TRBV2-3	F	Macaca mulatta T cell receptor beta variable 2-3	2	3		NW_001114291	-
Macaca mulatta	TRBV20-1	F	Macaca mulatta T cell receptor beta variable 20-1	2	3		NW_001114291	-
Macaca mulatta	TRBV21-1	F	Macaca mulatta T cell receptor beta variable 21-1	2	3		NW_001114291	-
Macaca mulatta	TRBV22-1	P	Macaca mulatta T cell receptor beta variable 22-1	2	3		NW_001114291	-
Macaca mulatta	TRBV23-1	F	Macaca mulatta T cell receptor beta variable 23-1	1	3		NW_001114291	-
Macaca mulatta	TRBV24-1	F	Macaca mulatta T cell receptor beta variable 24-1	1	3		NW_001114291	-
Macaca mulatta	TRBV25-1	F	Macaca mulatta T cell receptor beta variable 25-1	1	3		NW_001114291	-
Macaca mulatta	TRBV26	P	Macaca mulatta T cell receptor beta variable 26	2	3		NW_001114291	-
Macaca mulatta	TRBV27	F	Macaca mulatta T cell receptor beta variable 27	2	3		NW_001114291	-
Macaca mulatta	TRBV28	F	Macaca mulatta T cell receptor beta variable 28	1	3		NW_001114291	-
Macaca mulatta	TRBV29-1	F	Macaca mulatta T cell receptor beta variable 29-1	2	3		NW_001114291	-
Macaca mulatta	TRBV3-1	F	Macaca mulatta T cell receptor beta variable 3-1	1	3		NW_001114291	-
Macaca mulatta	TRBV3-2	F	Macaca mulatta T cell receptor beta variable 3-2	2	3		NW_001114291	-
Macaca mulatta	TRBV3-3	F	Macaca mulatta T cell receptor beta variable 3-3	2	3		NW_001114291	-
Macaca mulatta	TRBV3-4	F	Macaca mulatta T cell receptor beta variable 3-4	2	3		NW_001114291	-
Macaca mulatta	TRBV30	F	Macaca mulatta T cell receptor beta variable 30	1	3		NW_001114291	-
Macaca mulatta	TRBV4-1	F	Macaca mulatta T cell receptor beta variable 4-1	2	3		NW_001114291	-
Macaca mulatta	TRBV4-2	F	Macaca mulatta T cell receptor beta variable 4-2	2	3		NW_001114291	-
Macaca mulatta	TRBV4-3	F	Macaca mulatta T cell receptor beta variable 4-3	3	3		NW_001114291	-
Macaca mulatta	TRBV5-1	P	Macaca mulatta T cell receptor beta variable 5-1	3	3		NW_001114291	-
Macaca mulatta	TRBV5-10	F	Macaca mulatta T cell receptor beta variable 5-10	2	3		NW_001114291	-
Macaca mulatta	TRBV5-2	P	Macaca mulatta T cell receptor beta variable 5-2	2	3		NW_001114291	-
Macaca mulatta	TRBV5-3	F  ORF	Macaca mulatta T cell receptor beta variable 5-3	3	3		NW_001114291	-
Macaca mulatta	TRBV5-4	F  P	Macaca mulatta T cell receptor beta variable 5-4	3	3		NW_001114291	-
Macaca mulatta	TRBV5-5	F  P	Macaca mulatta T cell receptor beta variable 5-5	3	3		NW_001114291	-
Macaca mulatta	TRBV5-6	F	Macaca mulatta T cell receptor beta variable 5-6	2	3		NW_001114291	-
Macaca mulatta	TRBV5-7	F  P	Macaca mulatta T cell receptor beta variable 5-7	2	3		NW_001114291	-
Macaca mulatta	TRBV5-8	F	Macaca mulatta T cell receptor beta variable 5-8	2	3		NW_001114291	-
Macaca mulatta	TRBV5-9	F	Macaca mulatta T cell receptor beta variable 5-9	3	3		NW_001114291	-
Macaca mulatta	TRBV6-1	F	Macaca mulatta T cell receptor beta variable 6-1	2	3		NW_001114291	-
Macaca mulatta	TRBV6-2	F	Macaca mulatta T cell receptor beta variable 6-2	3	3		NW_001114291	-
Macaca mulatta	TRBV6-2-1	ORF  P	Macaca mulatta T cell receptor beta variable 6-2-1	2	3		IMGT000012	-
Macaca mulatta	TRBV6-3	F	Macaca mulatta T cell receptor beta variable 6-3	2	3		NW_001114291	-
Macaca mulatta	TRBV6-4	ORF  P	Macaca mulatta T cell receptor beta variable 6-4	3	3		NW_001114291	-
Macaca mulatta	TRBV6-5	ORF	Macaca mulatta T cell receptor beta variable 6-5	1	3		IMGT000012	-
Macaca mulatta	TRBV6-5-1	P	Macaca mulatta T cell receptor beta variable 6-5-1	2	3		NW_001114291	-
Macaca mulatta	TRBV6-6	F	Macaca mulatta T cell receptor beta variable 6-6	2	3		NW_001114291	-
Macaca mulatta	TRBV6-7	ORF	Macaca mulatta T cell receptor beta variable 6-7	1	3		NW_001114291	-
Macaca mulatta	TRBV6-8	F  ORF	Macaca mulatta T cell receptor beta variable 6-8	2	3		IMGT000012	-
Macaca mulatta	TRBV7-1	P	Macaca mulatta T cell receptor beta variable 7-1	1	3		IMGT000012	-
Macaca mulatta	TRBV7-10	F  ORF	Macaca mulatta T cell receptor beta variable 7-10	2	3		NW_001114291	-
Macaca mulatta	TRBV7-2	F  P	Macaca mulatta T cell receptor beta variable 7-2	2	3		IMGT000012	-
Macaca mulatta	TRBV7-3	F	Macaca mulatta T cell receptor beta variable 7-3	1	3		NW_001114291	-
Macaca mulatta	TRBV7-4	F	Macaca mulatta T cell receptor beta variable 7-4	3	3		NW_001114291	-
Macaca mulatta	TRBV7-5	F	Macaca mulatta T cell receptor beta variable 7-5	2	3		NW_001114291	-
Macaca mulatta	TRBV7-6	F	Macaca mulatta T cell receptor beta variable 7-6	2	3		NW_001114291	-
Macaca mulatta	TRBV7-7	F  ORF	Macaca mulatta T cell receptor beta variable 7-7	2	3		NW_001114291	-
Macaca mulatta	TRBV7-7-1	F  P	Macaca mulatta T cell receptor beta variable 7-7-1	2	3		IMGT000012	-
Macaca mulatta	TRBV7-8	P	Macaca mulatta T cell receptor beta variable 7-8	1	3		NW_001114291	-
Macaca mulatta	TRBV7-9	F	Macaca mulatta T cell receptor beta variable 7-9	2	3		NW_001114291	-
Macaca mulatta	TRBV8-1	P	Macaca mulatta T cell receptor beta variable 8-1	2	3		NW_001114291	-
Macaca mulatta	TRBV8-2	P	Macaca mulatta T cell receptor beta variable 8-2	2	3		NW_001114291	-
Macaca mulatta	TRBV9	F	Macaca mulatta T cell receptor beta variable 9	3	3		NW_001114291	-
Macaca mulatta	TRBVA	P	Macaca mulatta T cell receptor beta variable A	1	3		NW_001114291	-
Macaca mulatta	TRBVB	P	Macaca mulatta T cell receptor beta variable B	1	3		NW_001114291	-
Macaca mulatta	TRBVC	P	Macaca mulatta T cell receptor beta variable C	2	3		NW_001114291	-
Macaca mulatta	TRDC	F	Macaca mulatta T cell receptor delta constant	3	7		IMGT000013	-
Macaca mulatta	TRDD1	ORF	Macaca mulatta T cell receptor delta diversity 1	1	7		IMGT000013	-
Macaca mulatta	TRDD2	F	Macaca mulatta T cell receptor delta diversity 2	1	7		IMGT000013	-
Macaca mulatta	TRDD3	F	Macaca mulatta T cell receptor delta diversity 3	1	7		IMGT000013	-
Macaca mulatta	TRDD4	F	Macaca mulatta T cell receptor delta diversity 4	1	7		IMGT000013	-
Macaca mulatta	TRDJ1	F	Macaca mulatta T cell receptor delta joining 1	1	7		IMGT000013	-
Macaca mulatta	TRDJ2	F	Macaca mulatta T cell receptor delta joining 2	1	7		IMGT000013	-
Macaca mulatta	TRDJ3	F	Macaca mulatta T cell receptor delta joining 3	2	7		IMGT000013	-
Macaca mulatta	TRDJ4	F	Macaca mulatta T cell receptor delta joining 4	2	7		IMGT000013	-
Macaca mulatta	TRDV1	F	Macaca mulatta T cell receptor delta variable 1	2	7		IMGT000013	-
Macaca mulatta	TRDV1-1	F	Macaca mulatta T cell receptor delta variable 1-1	1	7		IMGT000076	-
Macaca mulatta	TRDV2	F	Macaca mulatta T cell receptor delta variable 2	2	7		IMGT000013	-
Macaca mulatta	TRDV3	F	Macaca mulatta T cell receptor delta variable 3	2	7		IMGT000013	-
Macaca mulatta	TRDV4	F	Macaca mulatta T cell receptor delta variable 4	1	7		IMGT000013	-
Macaca mulatta	TRGC1	F	Macaca mulatta T cell receptor gamma constant 1	1	3		IMGT000059	-
Macaca mulatta	TRGC2	F	Macaca mulatta T cell receptor gamma constant 2	1	3		IMGT000059	-
Macaca mulatta	TRGJ1-1	ORF	Macaca mulatta T cell receptor gamma joining 1-1	1	3		IMGT000059	-
Macaca mulatta	TRGJ1-2	F	Macaca mulatta T cell receptor gamma joining 1-2	1	3		IMGT000059	-
Macaca mulatta	TRGJ2-1	ORF	Macaca mulatta T cell receptor gamma joining 2-1	1	3		IMGT000059	-
Macaca mulatta	TRGJ2-2	P	Macaca mulatta T cell receptor gamma joining 2-2	1	3		IMGT000059	-
Macaca mulatta	TRGJ2-3	F	Macaca mulatta T cell receptor gamma joining 2-3	1	3		IMGT000059	-
Macaca mulatta	TRGV1	ORF	Macaca mulatta T cell receptor gamma variable 1	1	3		IMGT000059	-
Macaca mulatta	TRGV10	ORF	Macaca mulatta T cell receptor gamma variable 10	1	3		IMGT000059	-
Macaca mulatta	TRGV11	P	Macaca mulatta T cell receptor gamma variable 11	1	3		IMGT000059	-
Macaca mulatta	TRGV2	F	Macaca mulatta T cell receptor gamma variable 2	1	3		IMGT000059	-
Macaca mulatta	TRGV3	F	Macaca mulatta T cell receptor gamma variable 3	1	3		IMGT000059	-
Macaca mulatta	TRGV6	P	Macaca mulatta T cell receptor gamma variable 6	1	3		IMGT000059	-
Macaca mulatta	TRGV8	F	Macaca mulatta T cell receptor gamma variable 8	1	3		IMGT000059	-
Macaca mulatta	TRGV9	F	Macaca mulatta T cell receptor gamma variable 9	1	3		IMGT000059	-
Macaca mulatta	TRGVA	P	Macaca mulatta T cell receptor gamma variable A	1	3		IMGT000059	-
Macaca mulatta	TRGVB	P	Macaca mulatta T cell receptor gamma variable B	1	3		IMGT000059	-
Macaca mulatta	TRGVC	P	Macaca mulatta T cell receptor gamma variable C	1	3		IMGT000059	-
Macaca mulatta	TRGVD	P	Macaca mulatta T cell receptor gamma variable D	1	3		IMGT000059	-
Mesocricetus auratus	TRAC	F	Mesocricetus auratus T cell receptor alpha constant	1			IMGT000237	-
Mesocricetus auratus	TRBC1	F	Mesocricetus auratus T cell receptor beta constant 1	1			IMGT000239	-
Mesocricetus auratus	TRBC2	F	Mesocricetus auratus T cell receptor beta constant 2	1			IMGT000239	-
Mesocricetus auratus	TRDC	F	Mesocricetus auratus T cell receptor delta constant	1			IMGT000237	-
Mesocricetus auratus	TRGC1	F	Mesocricetus auratus T cell receptor gamma constant 1	1			IMGT000240	-
Mesocricetus auratus	TRGC2	F	Mesocricetus auratus T cell receptor gamma constant 2	1			IMGT000240	-
Mus minutoides	TRBC2	F	Mus minutoides T cell receptor beta constant 2	1	-	-	S92301	-
Mus musculus	TRAC	(F)  F	Mus musculus T cell receptor alpha constant	2	14	14C2 (19.7 cM)	M64239	100101484
Mus musculus	TRAJ1	P	Mus musculus T cell receptor alpha joining 1	1	14	14C2 (19.7 cM)	M64239	100124400
Mus musculus	TRAJ11	F	Mus musculus T cell receptor alpha joining 11	1	14	14C2 (19.7 cM)	M64239	100124392
Mus musculus	TRAJ12	F	Mus musculus T cell receptor alpha joining 12	2	14	14C2 (19.7 cM)	M64239	100124391
Mus musculus	TRAJ13	F	Mus musculus T cell receptor alpha joining 13	1	14	14C2 (19.7 cM)	M64239	100124390
Mus musculus	TRAJ14	P	Mus musculus T cell receptor alpha joining 14	1	14	14C2 (19.7 cM)	M64239	100124389
Mus musculus	TRAJ15	F	Mus musculus T cell receptor alpha joining 15	1	14	14C2 (19.7 cM)	M64239	100124388
Mus musculus	TRAJ16	F	Mus musculus T cell receptor alpha joining 16	1	14	14C2 (19.7 cM)	X03057	100124387
Mus musculus	TRAJ17	F	Mus musculus T cell receptor alpha joining 17	1	14	14C2 (19.7 cM)	M64239	100124372
Mus musculus	TRAJ18	F	Mus musculus T cell receptor alpha joining 18	1	14	14C2 (19.7 cM)	M64239	100124371
Mus musculus	TRAJ19	ORF	Mus musculus T cell receptor alpha joining 19	1	14	14C2 (19.7 cM)	M64239	100124370
Mus musculus	TRAJ2	F	Mus musculus T cell receptor alpha joining 2	2	14	14C2 (19.7 cM)	M64239	654838
Mus musculus	TRAJ20	P	Mus musculus T cell receptor alpha joining 20	1	14	14C2 (19.7 cM)	M64239	100124369
Mus musculus	TRAJ21	(F)  F	Mus musculus T cell receptor alpha joining 21	2	14	14C2 (19.7 cM)	M64239	100124368
Mus musculus	TRAJ22	F	Mus musculus T cell receptor alpha joining 22	1	14	14C2 (19.7 cM)	M64239	100124367
Mus musculus	TRAJ23	F	Mus musculus T cell receptor alpha joining 23	1	14	14C2 (19.7 cM)	M64239	100124366
Mus musculus	TRAJ24	F	Mus musculus T cell receptor alpha joining 24	2	14	14C2 (19.7 cM)	M64239	100124365
Mus musculus	TRAJ25	ORF	Mus musculus T cell receptor alpha joining 25	2	14	14C2 (19.7 cM)	M64239	100124364
Mus musculus	TRAJ26	F	Mus musculus T cell receptor alpha joining 26	1	14	14C2 (19.7 cM)	IMGT000082	100124363
Mus musculus	TRAJ27	F	Mus musculus T cell receptor alpha joining 27	1	14	14C2 (19.7 cM)	M64239	100124362
Mus musculus	TRAJ28	F	Mus musculus T cell receptor alpha joining 28	1	14	14C2 (19.7 cM)	X17177	100124361
Mus musculus	TRAJ29	ORF	Mus musculus T cell receptor alpha joining 29	1	14	14C2 (19.7 cM)	M64239	100124360
Mus musculus	TRAJ3	P	Mus musculus T cell receptor alpha joining 3	1	14	14C2 (19.7 cM)	M64239	100124399
Mus musculus	TRAJ30	F	Mus musculus T cell receptor alpha joining 30	1	14	14C2 (19.7 cM)	M64239	100124359
Mus musculus	TRAJ31	(F)  F	Mus musculus T cell receptor alpha joining 31	2	14	14C2 (19.7 cM)	M64239	100124358
Mus musculus	TRAJ32	(F)  F	Mus musculus T cell receptor alpha joining 32	2	14	14C2 (19.7 cM)	X02858	100124357
Mus musculus	TRAJ33	F	Mus musculus T cell receptor alpha joining 33	1	14	14C2 (19.7 cM)	M64239	100124356
Mus musculus	TRAJ34	F	Mus musculus T cell receptor alpha joining 34	2	14	14C2 (19.7 cM)	X02862	100124355
Mus musculus	TRAJ35	F	Mus musculus T cell receptor alpha joining 35	2	14	14C2 (19.7 cM)	X03056	100124354
Mus musculus	TRAJ36	P	Mus musculus T cell receptor alpha joining 36	1	14	14C2 (19.7 cM)	M64239	100124353
Mus musculus	TRAJ37	F	Mus musculus T cell receptor alpha joining 37	1	14	14C2 (19.7 cM)	M64239	100124352
Mus musculus	TRAJ38	F	Mus musculus T cell receptor alpha joining 38	1	14	14C2 (19.7 cM)	M64239	100124351
Mus musculus	TRAJ39	F	Mus musculus T cell receptor alpha joining 39	1	14	14C2 (19.7 cM)	M64239	100124349
Mus musculus	TRAJ4	F  P	Mus musculus T cell receptor alpha joining 4	2	14	14C2 (19.7 cM)	M64239	100124398
Mus musculus	TRAJ40	F	Mus musculus T cell receptor alpha joining 40	1	14	14C2 (19.7 cM)	X03058	100124348
Mus musculus	TRAJ41	ORF	Mus musculus T cell receptor alpha joining 41	1	14	14C2 (19.7 cM)	M64239	100124347
Mus musculus	TRAJ42	(F)  F	Mus musculus T cell receptor alpha joining 42	2	14	14C2 (19.7 cM)	M64239	100124346
Mus musculus	TRAJ43	(F)  F	Mus musculus T cell receptor alpha joining 43	2	14	14C2 (19.7 cM)	M64239	100124345
Mus musculus	TRAJ44	ORF	Mus musculus T cell receptor alpha joining 44	1	14	14C2 (19.7 cM)	M64239	100124344
Mus musculus	TRAJ45	(F)  F	Mus musculus T cell receptor alpha joining 45	2	14	14C2 (19.7 cM)	X02859	100124343
Mus musculus	TRAJ46	P	Mus musculus T cell receptor alpha joining 46	2	14	14C2 (19.7 cM)	M64239	100124342
Mus musculus	TRAJ47	F  ORF	Mus musculus T cell receptor alpha joining 47	2	14	14C2 (19.7 cM)	M64239	100124341
Mus musculus	TRAJ48	F	Mus musculus T cell receptor alpha joining 48	1	14	14C2 (19.7 cM)	M64239	100124340
Mus musculus	TRAJ49	F	Mus musculus T cell receptor alpha joining 49	1	14	14C2 (19.7 cM)	X03059	100124339
Mus musculus	TRAJ5	F	Mus musculus T cell receptor alpha joining 5	1	14	14C2 (19.7 cM)	M38105	654839
Mus musculus	TRAJ50	F	Mus musculus T cell receptor alpha joining 50	1	14	14C2 (19.7 cM)	M64239	100124338
Mus musculus	TRAJ51	P	Mus musculus T cell receptor alpha joining 51	2	14	14C2 (19.7 cM)	M64239	100124337
Mus musculus	TRAJ52	F	Mus musculus T cell receptor alpha joining 52	1	14	14C2 (19.7 cM)	M64239	100124336
Mus musculus	TRAJ53	F	Mus musculus T cell receptor alpha joining 53	1	14	14C2 (19.7 cM)	M64239	100124335
Mus musculus	TRAJ54	P	Mus musculus T cell receptor alpha joining 54	1	14	14C2 (19.7 cM)	M64239	100124333
Mus musculus	TRAJ55	P	Mus musculus T cell receptor alpha joining 55	1	14	14C2 (19.7 cM)	M64239	100124297
Mus musculus	TRAJ56	F	Mus musculus T cell receptor alpha joining 56	1	14	14C2 (19.7 cM)	M64239	100124296
Mus musculus	TRAJ57	F	Mus musculus T cell receptor alpha joining 57	1	14	14C2 (19.7 cM)	M64239	100124295
Mus musculus	TRAJ58	F	Mus musculus T cell receptor alpha joining 58	1	14	14C2 (19.7 cM)	M64239	100124294
Mus musculus	TRAJ59	P	Mus musculus T cell receptor alpha joining 59	1	14	14C2 (19.7 cM)	M64239	100124293
Mus musculus	TRAJ6	F	Mus musculus T cell receptor alpha joining 6	1	14	14C2 (19.7 cM)	M64239	100124397
Mus musculus	TRAJ60	P	Mus musculus T cell receptor alpha joining 60	1	14	14C2 (19.7 cM)	M64239	100124288
Mus musculus	TRAJ61	P	Mus musculus T cell receptor alpha joining 61	1	14	14C2 (19.7 cM)	M64239	100124287
Mus musculus	TRAJ7	ORF	Mus musculus T cell receptor alpha joining 7	1	14	14C2 (19.7 cM)	M64239	100124396
Mus musculus	TRAJ8	P	Mus musculus T cell receptor alpha joining 8	2	14	14C2 (19.7 cM)	M64239	100124395
Mus musculus	TRAJ9	F	Mus musculus T cell receptor alpha joining 9	2	14	14C2 (19.7 cM)	X03761	100124393
Mus musculus	TRAV1	F	Mus musculus T cell receptor alpha variable 1	2	14	14C2 (19.7 cM)	AF259072	627171
Mus musculus	TRAV10	(F)  (P)  F	Mus musculus T cell receptor alpha variable 10	5	14	14C2 (19.7 cM)	AC005240	667765
Mus musculus	TRAV10D	(P)  F	Mus musculus T cell receptor alpha variable 10D	3	14	14C2 (19.7 cM)	AC003994	100101486
Mus musculus	TRAV10N	F	Mus musculus T cell receptor alpha variable 10N	1	14	14C2 (19.7 cM)	AC163653	667626
Mus musculus	TRAV11	F	Mus musculus T cell receptor alpha variable 11	2	14	14C2 (19.7 cM)	AC005240	100126466
Mus musculus	TRAV11D	F  ORF	Mus musculus T cell receptor alpha variable 11D	2	14	14C2 (19.7 cM)	AC004101	640196
Mus musculus	TRAV11N	P	Mus musculus T cell receptor alpha variable 11N	1	14	14C2 (19.7 cM)	AC163653	100042560
Mus musculus	TRAV12-1	(F)  F  ORF	Mus musculus T cell receptor alpha variable 12D-1	6	14	14C2 (19.7 cM)	X06307	630086
Mus musculus	TRAV12-2	F	Mus musculus T cell receptor alpha variable 12-2	2	14	14C2 (19.7 cM)	AC003997	100043322
Mus musculus	TRAV12-3	(F)  F	Mus musculus T cell receptor alpha variable 12-3	5	14	14C2 (19.7 cM)	AC003997	654836
Mus musculus	TRAV12-4	P	Mus musculus T cell receptor alpha variable 12-4	3	14	14C2 (19.7 cM)	AC005938	100101936
Mus musculus	TRAV12D-1	(F)  F	Mus musculus T cell receptor alpha variable 12D-1	6	14	14C2 (19.7 cM)	X06308	100043177
Mus musculus	TRAV12D-2	(F)  F	Mus musculus T cell receptor alpha variable 12D-2	5	14	14C2 (19.7 cM)	X04332	100043197
Mus musculus	TRAV12D-3	(F)  (ORF)  F	Mus musculus T cell receptor alpha variable 12D-3	4	14	14C2 (19.7 cM)	U90514	667542
Mus musculus	TRAV12N-1	F	Mus musculus T cell receptor alpha variable 12N-1	1	14	14C2 (19.7 cM)	AC188458	100043218
Mus musculus	TRAV12N-2	F	Mus musculus T cell receptor alpha variable 12N-2	1	14	14C2 (19.7 cM)	AC188458	100043270
Mus musculus	TRAV12N-3	F	Mus musculus T cell receptor alpha variable 12N-3	1	14	14C2 (19.7 cM)	AC161460	667681
Mus musculus	TRAV13-1	F	Mus musculus T cell receptor alpha variable 13-1	2	14	14C2 (19.7 cM)	AC004406	100126469
Mus musculus	TRAV13-2	(F)  F	Mus musculus T cell receptor alpha variable 13-2	3	14	14C2 (19.7 cM)	AC003997	638566
Mus musculus	TRAV13-3	F  ORF  P	Mus musculus T cell receptor alpha variable 13-3	3	14	14C2 (19.7 cM)	AC003995	432910
Mus musculus	TRAV13-4/DV7	(F)  F	Mus musculus T cell receptor alpha variable 13-4/DV7	3	14	14C2 (19.7 cM)	AC003996	100113412
Mus musculus	TRAV13-5	F	Mus musculus T cell receptor alpha variable 13-5	1	14	14C2 (19.7 cM)	AC005938	219060
Mus musculus	TRAV13D-1	(F)  F	Mus musculus T cell receptor alpha variable 13D-1	4	14	14C2 (19.7 cM)	AC005402	640931
Mus musculus	TRAV13D-2	(F)  F	Mus musculus T cell receptor alpha variable 13D-2	3	14	14C2 (19.7 cM)	X17178	667547
Mus musculus	TRAV13D-3	F	Mus musculus T cell receptor alpha variable 13D-3	2	14	14C2 (19.7 cM)	AC005855	667596
Mus musculus	TRAV13D-4	(F)  F	Mus musculus T cell receptor alpha variable 13D-4	3	14	14C2 (19.7 cM)	AC005855	639655
Mus musculus	TRAV13N-1	F	Mus musculus T cell receptor alpha variable 13N-1	1	14	14C2 (19.7 cM)	AC188458	100042568
Mus musculus	TRAV13N-2	F	Mus musculus T cell receptor alpha variable 13N-2	1	14	14C2 (19.7 cM)	AC161460	100042593
Mus musculus	TRAV13N-3	F	Mus musculus T cell receptor alpha variable 13N-3	1	14	14C2 (19.7 cM)	AC161460	547328
Mus musculus	TRAV13N-4	F	Mus musculus T cell receptor alpha variable 13N-4	1	14	14C2 (19.7 cM)	AC161460	100126460
Mus musculus	TRAV14-1	(F)  F	Mus musculus T cell receptor alpha variable 14-1	3	14	14C2 (19.7 cM)	L77149	436467
Mus musculus	TRAV14-2	F	Mus musculus T cell receptor alpha variable 14-2	3	14	14C2 (19.7 cM)	L77148	667567
Mus musculus	TRAV14-3	(F)  F	Mus musculus T cell receptor alpha variable 14-3	5	14	14C2 (19.7 cM)	L77154	547330
Mus musculus	TRAV14D-1	F  ORF	Mus musculus T cell receptor alpha variable 14D-1	2	14	14C2 (19.7 cM)	L77150	630415
Mus musculus	TRAV14D-2	(F)  F	Mus musculus T cell receptor alpha variable 14D-2	3	14	14C2 (19.7 cM)	U04312	100043214
Mus musculus	TRAV14D-3/DV8	(F)  F	Mus musculus T cell receptor alpha variable 14D-3/DV8	8	14	14C2 (19.7 cM)	L77152	634322
Mus musculus	TRAV14N-1	F	Mus musculus T cell receptor alpha variable 14N-1	1	14	14C2 (19.7 cM)	AC188458	100043204
Mus musculus	TRAV14N-2	F	Mus musculus T cell receptor alpha variable 14N-2	1	14	14C2 (19.7 cM)	AC161460	193574
Mus musculus	TRAV14N-3	F	Mus musculus T cell receptor alpha variable 14N-3	1	14	14C2 (19.7 cM)	AC161460	100043308
Mus musculus	TRAV15-1/DV6-1	(F)  F	Mus musculus T cell receptor alpha variable 15-1/DV6-1	2	14	14C2 (19.7 cM)	AC004406	386446
Mus musculus	TRAV15-2/DV6-2	F	Mus musculus T cell receptor alpha variable 15-2/DV6-2	2	14	14C2 (19.7 cM)	AC003997	436545
Mus musculus	TRAV15-3	P	Mus musculus T cell receptor alpha variable 15-3	2	14	14C2 (19.7 cM)	AC003996	100113411
Mus musculus	TRAV15D-1/DV6D-1	(F)  F	Mus musculus T cell receptor alpha variable 15D-1/DV6D-1	7	14	14C2 (19.7 cM)	X07878	436468
Mus musculus	TRAV15D-2/DV6D-2	(F)  F	Mus musculus T cell receptor alpha variable 15D-2/DV6D-2	5	14	14C2 (19.7 cM)	AC005402	100101491
Mus musculus	TRAV15D-3	P	Mus musculus T cell receptor alpha variable 15D-3	2	14	14C2 (19.7 cM)	AC004407	100101934
Mus musculus	TRAV15N-1	F	Mus musculus T cell receptor alpha variable 15N-1	1	14	14C2 (19.7 cM)	AC188458	100126452
Mus musculus	TRAV15N-2	F	Mus musculus T cell receptor alpha variable 15N-2	1	14	14C2 (19.7 cM)	AC161460	547424
Mus musculus	TRAV15N-3	P	Mus musculus T cell receptor alpha variable 15N-3	1	14	14C2 (19.7 cM)	AC122813	100126461
Mus musculus	TRAV16	(F)  F	Mus musculus T cell receptor alpha variable 16	6	14	14C2 (19.7 cM)	AC004096	195297
Mus musculus	TRAV16D/DV11	(F)  F	Mus musculus T cell receptor alpha variable 16D/DV11	4	14	14C2 (19.7 cM)	AC005855	547329
Mus musculus	TRAV16N	F	Mus musculus T cell receptor alpha variable 16N	1	14	14C2 (19.7 cM)	AC161460	100126459
Mus musculus	TRAV17	F	Mus musculus T cell receptor alpha variable 17	2	14	14C2 (19.7 cM)	AC005938	627777
Mus musculus	TRAV18	ORF	Mus musculus T cell receptor alpha variable 18	2	14	14C2 (19.7 cM)	AC005938	547427
Mus musculus	TRAV19	F  P	Mus musculus T cell receptor alpha variable 19	3	14	14C2 (19.7 cM)	AE007512	547428
Mus musculus	TRAV2	F	Mus musculus T cell receptor alpha variable 2	1	14	14C2 (19.7 cM)	AF259071	100042372
Mus musculus	TRAV20	(P)  P	Mus musculus T cell receptor alpha variable 20	2	14	14C2 (19.7 cM)	M94080	100101939
Mus musculus	TRAV21/DV12	(F)  F  ORF	Mus musculus T cell receptor alpha variable 21/DV12	3	14	14C2 (19.7 cM)	M94080	100101940
Mus musculus	TRAV22	P	Mus musculus T cell receptor alpha variable 22	2	14	14C2 (19.7 cM)	AC004399	100101941
Mus musculus	TRAV23	P	Mus musculus T cell receptor alpha variable 23	2	14	14C2 (19.7 cM)	AC003993	100113481
Mus musculus	TRAV3-1	(F)  F	Mus musculus T cell receptor alpha variable 3-1	3	14	14C2 (19.7 cM)	AF259071	667441
Mus musculus	TRAV3-2	P	Mus musculus T cell receptor alpha variable 3-2	2	14	14C2 (19.7 cM)	AC003997	100126470
Mus musculus	TRAV3-3	F	Mus musculus T cell receptor alpha variable 3-3	1	14	14C2 (19.7 cM)	AC003997	320898
Mus musculus	TRAV3-4	F	Mus musculus T cell receptor alpha variable 3-4	2	14	14C2 (19.7 cM)	AC003996	211027
Mus musculus	TRAV3D-2	P	Mus musculus T cell receptor alpha variable 3D-2	2	14	14C2 (19.7 cM)	AC005402	100042470
Mus musculus	TRAV3D-3	F	Mus musculus T cell receptor alpha variable 3D-3	2	14	14C2 (19.7 cM)	AC005402	100043202
Mus musculus	TRAV3N-2	P	Mus musculus T cell receptor alpha variable 3N-2	1	14	14C2 (19.7 cM)	AC188458	100042574
Mus musculus	TRAV3N-3	F	Mus musculus T cell receptor alpha variable 3N-3	1	14	14C2 (19.7 cM)	AC161460	100043282
Mus musculus	TRAV4-1	P	Mus musculus T cell receptor alpha variable 4-1	2	14	14C2 (19.7 cM)	AF259071	100042384
Mus musculus	TRAV4-2	F	Mus musculus T cell receptor alpha variable 4-2	2	14	14C2 (19.7 cM)	AC004407	100126462
Mus musculus	TRAV4-3	(F)  F	Mus musculus T cell receptor alpha variable 4-3	3	14	14C2 (19.7 cM)	AC003997	100126471
